ID,date,depthcode,con,oxygen,temp,den,sal
I2,May 05 1992,M,2.86,10.8,7.79,21.14,27.15
I2,Jun 02 1992,M,3.14,8.57,11.05,20.91,27.47
I2,Jul 07 1992,M,3.62,6.68,16.7,20.02,27.74
I2,Aug 05 1992,M,3.95,6.83,20.74,19.06,27.76
I2,Nov 04 1992,M,3.44,8.06,13.47,21.28,28.5
I2,May 05 1993,M,2.69,8.2,7.21,20.12,25.75
I2,Jun 01 1993,M,3.26,4.53,12.48,20.71,27.53
I2,Jul 07 1993,M,3.72,6.71,17.61,19.99,27.97
I2,Aug 02 1993,M,4.06,6.93,20.54,19.86,28.74
I2,Sep 07 1993,M,4.28,6.18,22.59,19.54,29.04
I2,Oct 05 1993,M,3.89,7.38,18.25,20.55,28.9
I2,Nov 02 1993,M,3.5,7.6,13.45,21.7,29.04
I2,Dec 15 1993,M,3.05,9.04,8.57,22.1,28.51
I2,Jan 11 1994,M,2.57,9.53,2.54,22.52,28.23
I2,Feb 01 1994,M,2.4,8.95,0.3,22.58,28.16
I2,Mar 07 1994,M,2.35,12.23,-0.29,22.44,27.96
I2,Apr 05 1994,M,2.46,11.02,2.66,21.36,26.79
I2,May 03 1994,M,2.72,8.59,7.22,20.4,26.11
I2,Jun 01 1994,M,3.12,7,12.39,19.74,26.26
I2,Jul 05 1994,M,3.75,6.91,17.45,20.31,28.34
I2,Aug 01 1994,M,4.15,6.36,21.15,19.91,29.02
I2,Aug 29 1994,M,4.13,7.01,21.8,19.29,28.43
I2,Oct 04 1994,M,3.91,7.85,18.23,20.69,29.07
I2,Nov 09 1994,M,3.58,8.79,14.58,21.36,28.89
I2,Dec 05 1994,M,3.22,9.29,10.09,22.23,28.96
I2,Jan 04 1995,M,2.75,8.33,4.78,22.44,28.37
I2,Feb 08 1995,M,2.56,9.42,1.83,22.98,28.75
I2,Mar 06 1995,M,2.56,9.98,2.26,22.61,28.33
I2,Apr 03 1995,M,2.72,8.55,5.03,21.96,27.79
I2,May 05 1995,M,3.1,8.22,9.29,21.91,28.4
I2,Jun 02 1995,M,3.4,8.82,12.78,21.52,28.65
I2,Jun 22 1995,M,3.72,6.93,16.67,20.68,28.6
I2,Jul 06 1995,M,3.84,5.87,17.76,20.6,28.82
I2,Jul 18 1995,M,3.98,6.12,19.75,19.97,28.63
I2,Jul 31 1995,M,4.14,5.84,20.67,20.2,29.23
I2,Aug 14 1995,M,4.2,9.51,21.84,19.65,28.93
I2,Dec 04 1995,M,3.09,9.94,9.02,22.04,28.51
I2,Jan 09 1996,M,2.53,11.58,1.49,22.87,28.6
I2,Feb 06 1996,M,2.39,12.09,0.47,22.27,27.79
I2,Mar 05 1996,M,2.38,11.85,0.89,21.91,27.35
I2,Apr 01 1996,M,2.52,9.64,3.13,21.54,27.06
I2,May 09 1996,M,2.78,8.05,8.11,20.26,26.08
I2,Jun 03 1996,M,3.09,6.99,11.64,20.1,26.55
I2,Jun 25 1996,M,3.41,7.14,15.15,19.8,27.02
I2,Jul 08 1996,M,3.61,5.98,17.74,19.16,26.93
I2,Jul 23 1996,M,3.77,5.87,19.16,19.15,27.36
I2,Aug 05 1996,M,3.76,11.18,19.45,18.87,27.08
I2,Aug 20 1996,M,3.9,6.76,20.35,19.04,27.6
I2,Mar 03 1997,M,2.53,6.25,3.62,21.27,26.76
I2,Jul 08 1997,M,3.89,5.72,18.02,20.77,29.12
I2,Oct 05 1998,M,3.88,7.15,19.54,19.54,27.98
I2,Jul 06 1999,M,3.74,7.15,18.44,19.5,27.59
I2,Jul 20 1999,M,3.97,6.74,20.3,19.47,28.15
I2,Jul 06 2001,M,3.84,4.84,18.81,19.84,28.14
I2,Jul 07 2003,M,3.43,4.73,15.4,19.75,27.02
I2,Jul 24 2003,M,3.82,,18.27,20.07,28.29
I2,Aug 19 2003,M,3.92,,21.43,18.36,27.07
I2,Aug 16 2005,M,3.97,,21.83,18.32,27.15
