ID,date,NewDate,depthcode,oxygen,temp,sal,den
16.00,Jun 21 1994 12:00:00:000AM,6/21/1994,S,8.38,18.23,25.67,18.09
16.00,Jun 21 1994 12:00:00:000AM,6/21/1994,S,8.38,23.85,25.28,18.09
16.00,Jul 05 1994 12:00:00:000AM,7/5/1994,S,8.88,22.11,26.82,16.34
16.00,Jul 05 1994 12:00:00:000AM,7/5/1994,S,8.88,22.77,26.55,16.34
16.00,Jul 20 1994 12:00:00:000AM,7/20/1994,S,6.05,21.46,27.30,17.98
16.00,Jul 20 1994 12:00:00:000AM,7/20/1994,S,6.05,21.50,27.57,17.98
16.00,Aug 01 1994 12:00:00:000AM,8/1/1994,S,4.59,20.86,27.21,17.61
16.00,Aug 01 1994 12:00:00:000AM,8/1/1994,S,4.59,17.16,25.11,17.61
16.00,Aug 16 1994 12:00:00:000AM,8/16/1994,S,6.19,17.28,25.64,18.52
16.00,Aug 16 1994 12:00:00:000AM,8/16/1994,S,6.19,19.12,24.67,18.52
16.00,Aug 29 1994 12:00:00:000AM,8/29/1994,S,4.35,22.02,25.12,18.72
16.00,Aug 29 1994 12:00:00:000AM,8/29/1994,S,4.35,22.43,26.20,18.72
16.00,Sep 07 1994 12:00:00:000AM,9/7/1994,S,7.47,22.51,26.46,18.62
16.00,Sep 07 1994 12:00:00:000AM,9/7/1994,S,7.47,16.94,25.01,18.62
16.00,Jun 25 1996 12:00:00:000AM,6/25/1996,S,8.24,20.66,26.79,17.90
16.00,Jun 25 1996 12:00:00:000AM,6/25/1996,S,8.24,20.37,26.17,17.90
16.00,Jul 08 1996 12:00:00:000AM,7/8/1996,S,6.73,20.92,26.84,18.29
16.00,Jul 08 1996 12:00:00:000AM,7/8/1996,S,6.73,19.51,24.56,18.29
16.00,Jul 23 1996 12:00:00:000AM,7/23/1996,S,6.40,20.02,24.29,17.12
16.00,Jul 23 1996 12:00:00:000AM,7/23/1996,S,6.40,20.98,25.36,17.12
16.00,Aug 05 1996 12:00:00:000AM,8/5/1996,S,8.51,23.17,25.61,16.72
16.00,Aug 05 1996 12:00:00:000AM,8/5/1996,S,8.51,23.06,26.11,16.72
16.00,Aug 20 1996 12:00:00:000AM,8/20/1996,S,5.82,24.08,26.39,17.43
16.00,Aug 20 1996 12:00:00:000AM,8/20/1996,S,5.82,19.67,25.95,17.43
16.00,Sep 03 1996 12:00:00:000AM,9/3/1996,S,5.90,18.69,26.60,17.61
16.00,Sep 03 1996 12:00:00:000AM,9/3/1996,S,5.90,21.76,27.09,17.61
16.00,Jun 27 1997 12:00:00:000AM,6/27/1997,S,7.73,22.62,27.63,17.88
16.00,Jun 27 1997 12:00:00:000AM,6/27/1997,S,7.73,23.26,27.88,17.88
16.00,Aug 04 1997 12:00:00:000AM,8/4/1997,S,7.01,21.94,28.11,18.35
16.00,Aug 04 1997 12:00:00:000AM,8/4/1997,S,7.01,15.98,25.68,18.35
16.00,Aug 19 1997 12:00:00:000AM,8/19/1997,S,5.23,19.48,26.27,17.95
16.00,Aug 19 1997 12:00:00:000AM,8/19/1997,S,5.23,21.14,25.55,17.95
16.00,Sep 02 1997 12:00:00:000AM,9/2/1997,S,7.55,20.82,25.96,18.32
16.00,Sep 02 1997 12:00:00:000AM,9/2/1997,S,7.55,,26.18,18.32
16.00,Jun 24 1998 12:00:00:000AM,6/24/1998,S,7.37,21.60,25.58,16.94
16.00,Jun 24 1998 12:00:00:000AM,6/24/1998,S,7.37,18.62,25.80,16.94
16.00,Jul 06 1998 12:00:00:000AM,7/6/1998,S,8.27,19.99,27.05,16.61
16.00,Jul 06 1998 12:00:00:000AM,7/6/1998,S,8.27,20.35,27.23,16.61
16.00,Jul 21 1998 12:00:00:000AM,7/21/1998,S,6.08,24.18,27.11,17.18
16.00,Jul 21 1998 12:00:00:000AM,7/21/1998,S,6.08,23.52,27.84,17.18
16.00,Aug 03 1998 12:00:00:000AM,8/3/1998,S,7.40,22.13,27.14,16.78
16.00,Aug 03 1998 12:00:00:000AM,8/3/1998,S,7.40,20.04,28.03,16.78
16.00,Aug 17 1998 12:00:00:000AM,8/17/1998,S,7.15,20.58,28.22,17.20
16.00,Aug 17 1998 12:00:00:000AM,8/17/1998,S,7.15,23.58,25.48,17.20
16.00,Aug 31 1998 12:00:00:000AM,8/31/1998,S,8.19,17.75,26.48,17.12
16.00,Aug 31 1998 12:00:00:000AM,8/31/1998,S,8.19,18.19,26.70,17.12
16.00,Jun 22 1999 12:00:00:000AM,6/22/1999,S,8.56,21.48,26.66,17.95
16.00,Jun 22 1999 12:00:00:000AM,6/22/1999,S,8.56,24.02,26.70,17.95
16.00,Jul 06 1999 12:00:00:000AM,7/6/1999,S,4.52,20.51,26.99,18.69
16.00,Jul 06 1999 12:00:00:000AM,7/6/1999,S,4.52,19.03,27.18,18.69
16.00,Jul 20 1999 12:00:00:000AM,7/20/1999,S,5.83,21.01,27.11,18.29
16.00,Jul 20 1999 12:00:00:000AM,7/20/1999,S,5.83,21.11,26.87,18.29
16.00,Aug 02 1999 12:00:00:000AM,8/2/1999,S,4.84,22.35,27.38,18.46
16.00,Aug 02 1999 12:00:00:000AM,8/2/1999,S,4.84,22.23,25.83,18.46
16.00,Aug 17 1999 12:00:00:000AM,8/17/1999,S,6.32,,25.63,18.48
16.00,Aug 17 1999 12:00:00:000AM,8/17/1999,S,6.32,20.94,25.64,18.48
16.00,Aug 31 1999 12:00:00:000AM,8/31/1999,S,6.01,22.92,26.39,19.01
16.00,Aug 31 1999 12:00:00:000AM,8/31/1999,S,6.01,23.17,26.86,19.01
16.00,Jun 22 2000 12:00:00:000AM,6/22/2000,S,6.03,22.53,25.24,18.60
16.00,Jun 22 2000 12:00:00:000AM,6/22/2000,S,6.03,23.71,25.77,18.60
16.00,Jul 05 2000 12:00:00:000AM,7/5/2000,S,6.68,17.43,26.35,18.24
16.00,Jul 05 2000 12:00:00:000AM,7/5/2000,S,6.68,22.01,26.82,18.24
16.00,Jul 18 2000 12:00:00:000AM,7/18/2000,S,6.52,23.31,26.48,17.28
16.00,Jul 18 2000 12:00:00:000AM,7/18/2000,S,6.52,22.44,27.43,17.28
16.00,Jul 31 2000 12:00:00:000AM,7/31/2000,S,5.40,21.48,27.93,17.67
16.00,Jul 31 2000 12:00:00:000AM,7/31/2000,S,5.40,18.53,27.17,17.67
16.00,Jun 21 1994 12:00:00:000AM,6/21/1994,S,,21.01,27.50,
16.00,Jun 21 1994 12:00:00:000AM,6/21/1994,S,,23.66,27.65,
16.00,Aug 29 2000 12:00:00:000AM,8/29/2000,S,6.06,22.66,25.50,17.64
16.00,Aug 29 2000 12:00:00:000AM,8/29/2000,S,6.06,22.42,25.95,17.64
16.00,Jun 21 2001 12:00:00:000AM,6/21/2001,S,7.57,17.56,26.71,17.93
16.00,Jun 21 2001 12:00:00:000AM,6/21/2001,S,7.57,18.50,26.56,17.93
16.00,Jul 06 2001 12:00:00:000AM,7/6/2001,S,7.35,22.49,27.17,17.76
16.00,Jul 06 2001 12:00:00:000AM,7/6/2001,S,7.35,21.99,27.01,17.76
16.00,Jul 24 2001 12:00:00:000AM,7/24/2001,S,4.88,22.04,27.01,18.63
16.00,Jul 24 2001 12:00:00:000AM,7/24/2001,S,4.88,22.80,25.99,18.63
16.00,Aug 06 2001 12:00:00:000AM,8/6/2001,S,8.31,21.64,24.40,17.72
16.00,Aug 06 2001 12:00:00:000AM,8/6/2001,S,8.31,19.05,25.99,17.72
16.00,Aug 20 2001 12:00:00:000AM,8/20/2001,S,5.71,21.56,26.13,17.82
16.00,Aug 20 2001 12:00:00:000AM,8/20/2001,S,5.71,21.71,26.55,17.82
16.00,Sep 04 2001 12:00:00:000AM,9/4/2001,S,4.64,21.39,27.18,18.75
16.00,Sep 04 2001 12:00:00:000AM,9/4/2001,S,4.64,21.73,27.59,18.75
16.00,Jul 08 2002 12:00:00:000AM,7/8/2002,S,6.68,21.43,27.84,18.77
16.00,Jul 08 2002 12:00:00:000AM,7/8/2002,S,6.68,22.33,24.65,18.77
16.00,Aug 05 2002 12:00:00:000AM,8/5/2002,S,4.92,24.70,25.58,19.31
16.00,Aug 05 2002 12:00:00:000AM,8/5/2002,S,4.92,19.96,26.02,19.31
16.00,Aug 22 2002 12:00:00:000AM,8/22/2002,S,5.91,20.65,23.93,18.64
16.00,Aug 22 2002 12:00:00:000AM,8/22/2002,S,5.91,22.29,24.99,18.64
16.00,Jul 07 2003 12:00:00:000AM,7/7/2003,S,7.19,22.69,25.81,18.05
16.00,Jul 07 2003 12:00:00:000AM,7/7/2003,S,7.19,22.39,26.42,18.05
16.00,Jul 24 2003 12:00:00:000AM,7/24/2003,S,5.66,18.63,27.17,18.71
16.00,Jul 24 2003 12:00:00:000AM,7/24/2003,S,5.66,18.33,26.36,18.71
16.00,Aug 04 2003 12:00:00:000AM,8/4/2003,S,4.57,20.04,27.17,18.06
16.00,Aug 04 2003 12:00:00:000AM,8/4/2003,S,4.57,22.93,28.09,18.06
16.00,Aug 19 2003 12:00:00:000AM,8/19/2003,S,6.73,23.43,22.03,17.34
16.00,Aug 19 2003 12:00:00:000AM,8/19/2003,S,6.73,23.95,26.18,17.34
16.00,Sep 03 2003 12:00:00:000AM,9/3/2003,S,5.21,17.80,25.97,18.31
16.00,Sep 03 2003 12:00:00:000AM,9/3/2003,S,5.21,18.68,26.56,18.31
16.00,Jul 06 2004 12:00:00:000AM,7/6/2004,S,7.84,22.44,25.90,18.90
16.00,Jul 06 2004 12:00:00:000AM,7/6/2004,S,7.84,22.20,27.25,18.90
16.00,Jul 19 2004 12:00:00:000AM,7/19/2004,S,6.94,22.61,27.24,18.55
16.00,Jul 19 2004 12:00:00:000AM,7/19/2004,S,6.94,22.62,25.41,18.55
16.00,Aug 02 2004 12:00:00:000AM,8/2/2004,S,6.16,21.47,25.55,18.47
16.00,Aug 02 2004 12:00:00:000AM,8/2/2004,S,6.16,17.32,26.25,18.47
16.00,Aug 19 2004 12:00:00:000AM,8/19/2004,S,6.77,21.39,25.63,17.96
16.00,Aug 19 2004 12:00:00:000AM,8/19/2004,S,6.77,20.62,26.91,17.96
16.00,Aug 31 2004 12:00:00:000AM,8/31/2004,S,5.79,24.75,27.27,18.38
16.00,Aug 31 2004 12:00:00:000AM,8/31/2004,S,5.79,21.79,27.63,18.38
16.00,Jul 05 1994 12:00:00:000AM,7/5/1994,S,,23.58,25.42,
16.00,Jul 05 1994 12:00:00:000AM,7/5/1994,S,,21.28,26.50,
16.00,Jul 07 2005 12:00:00:000AM,7/7/2005,S,8.55,18.53,27.13,17.55
16.00,Jul 07 2005 12:00:00:000AM,7/7/2005,S,8.55,19.74,23.48,17.55
16.00,Jul 18 2005 12:00:00:000AM,7/18/2005,S,9.55,22.32,27.68,16.87
16.00,Jul 18 2005 12:00:00:000AM,7/18/2005,S,9.55,29.90,28.22,16.87
16.00,Aug 02 2005 12:00:00:000AM,8/2/2005,S,5.47,24.19,28.34,16.80
16.00,Aug 02 2005 12:00:00:000AM,8/2/2005,S,5.47,23.16,26.91,16.80
16.00,Aug 16 2005 12:00:00:000AM,8/16/2005,S,4.84,22.91,27.51,17.55
16.00,Aug 16 2005 12:00:00:000AM,8/16/2005,S,4.84,17.53,27.19,17.55
16.00,Aug 29 2005 12:00:00:000AM,8/29/2005,S,6.79,20.68,28.29,17.57
16.00,Aug 29 2005 12:00:00:000AM,8/29/2005,S,6.79,24.09,28.74,17.57
16.00,Jul 06 2006 12:00:00:000AM,7/6/2006,S,6.13,23.82,28.83,17.95
16.00,Jul 06 2006 12:00:00:000AM,7/6/2006,S,6.13,24.58,26.17,17.95
16.00,Jul 18 2006 12:00:00:000AM,7/18/2006,S,8.30,23.11,26.42,17.22
16.00,Jul 18 2006 12:00:00:000AM,7/18/2006,S,8.30,20.18,26.57,17.22
16.00,Aug 01 2006 12:00:00:000AM,8/1/2006,S,6.03,21.62,26.50,17.31
16.00,Aug 01 2006 12:00:00:000AM,8/1/2006,S,6.03,22.51,27.34,17.31
16.00,Aug 16 2006 12:00:00:000AM,8/16/2006,S,6.02,22.72,,17.90
16.00,Aug 16 2006 12:00:00:000AM,8/16/2006,S,6.02,22.22,,17.90
16.00,Aug 29 2006 12:00:00:000AM,8/29/2006,S,6.18,,,17.90
16.00,Aug 29 2006 12:00:00:000AM,8/29/2006,S,6.18,,,17.90
16.00,Jul 09 2007 12:00:00:000AM,7/9/2007,S,5.84,,,19.36
16.00,Jul 09 2007 12:00:00:000AM,7/9/2007,S,5.84,,,19.36
16.00,Jul 19 2007 12:00:00:000AM,7/19/2007,S,6.79,,,19.12
16.00,Jul 19 2007 12:00:00:000AM,7/19/2007,S,6.79,,,19.12
16.00,Jul 30 2007 12:00:00:000AM,7/30/2007,S,6.22,,,17.82
16.00,Jul 30 2007 12:00:00:000AM,7/30/2007,S,6.22,,,17.82
16.00,Aug 13 2007 12:00:00:000AM,8/13/2007,S,5.95,,,18.35
16.00,Aug 13 2007 12:00:00:000AM,8/13/2007,S,5.95,,,18.35
16.00,Aug 28 2007 12:00:00:000AM,8/28/2007,S,7.38,,,18.53
16.00,Aug 28 2007 12:00:00:000AM,8/28/2007,S,7.38,,,18.53
16.00,Jun 17 2008 12:00:00:000AM,6/17/2008,S,7.37,,,18.12
16.00,Jun 17 2008 12:00:00:000AM,6/17/2008,S,7.37,,,18.12
16.00,Jun 30 2008 12:00:00:000AM,6/30/2008,S,6.12,,,18.24
16.00,Jun 30 2008 12:00:00:000AM,6/30/2008,S,6.12,,,18.24
16.00,Jul 21 2008 12:00:00:000AM,7/21/2008,S,5.77,,,17.80
16.00,Jul 21 2008 12:00:00:000AM,7/21/2008,S,5.77,,,17.80
16.00,Aug 05 2008 12:00:00:000AM,8/5/2008,S,5.57,,,17.82
16.00,Aug 05 2008 12:00:00:000AM,8/5/2008,S,5.57,,,17.82
16.00,Aug 20 2008 12:00:00:000AM,8/20/2008,S,6.30,,,18.27
16.00,Aug 20 2008 12:00:00:000AM,8/20/2008,S,6.30,,,18.27
