ID,year,coldwater,warmwater,link
1,1984,4.1,6.9,http://longislandsoundstudy.net/indicator/warm-watercold-water-fish-index/
2,1985,3.4,6.8,
3,1986,3.9,6.8,
4,1987,3.3,5.9,
5,1988,4.4,7.3,
6,1989,4.3,5.9,
7,1990,4.2,6.7,
8,1991,3.6,6.9,
9,1992,4.6,7.1,
10,1993,4.7,7.8,
11,1994,4.7,7.6,
12,1995,3.3,6.5,
13,1996,4.5,8.4,
14,1997,5.1,7.6,
15,1998,4.0,8.0,
16,1999,3.9,7.2,
17,2000,3.8,8.9,
18,2001,3.6,8.8,
19,2002,3.3,9.9,
20,2003,3.7,9.6,
21,2004,3.6,8.8,
22,2005,3.8,8.5,
23,2006,2.7,7.2,
24,2007,3.1,8.9,
25,2008,4.1,9.7,
26,2009,3.7,8.5,
27,2010,,,
28,2011,3.4,9.5,
29,2012,3.1,11.3,
30,2013,2.6,10.5,
31,2014,2.8,10.5,
32,2015,2.8,9.9,
33,2016,1.7,9.8,
34,2017,1.8,9.6,
